Organisation Name,Section,Costs (Higher),Financial year: End Date
European Metropolitan Transport Authorities (EMTA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",149325,01/12/2016
Soci_t_ des Auteurs des arts visuel et de l'Image Fixe (SAIF),III - Non-governmental organisations,24999,01/12/2015
Pappas & Associates (P&A),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
Covington & Burling LLP (Covington),I - Professional consultancies/law firms/self-employed consultants,1749000,01/09/2016
Slovenska bankova asociacia (SBA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Emergent BioSolutions,II - In-house lobbyists and trade/business/professional associations,275000,01/12/2016
Confederaci„n Espa_ola de Cajas de Ahorros (CECA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Institut National de la Relation Client (INRC),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2015
LBV-Kreisgruppe Neu-Ulm (LBV-NU),III - Non-governmental organisations,24999,01/12/2016
"Nuveen Services, LLC (Nuveen)",II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
European Sponsorship Association (ESA),II - In-house lobbyists and trade/business/professional associations,9999,01/04/2017
X23 Srl (X23),I - Professional consultancies/law firms/self-employed consultants,200000,01/12/2015
Federazione Italiana Shiatsu insegnanti e operatori (FISieo),II - In-house lobbyists and trade/business/professional associations, -   ,
Teollisuuden Voima Oyj (TVO),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
E TRAVEL _______ ____________ ___________ ___ ____________ _________ _______ ________ (e-Travel SA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Dr. Raphael von Heereman,I - Professional consultancies/law firms/self-employed consultants,24999,01/01/2018
Magyar Tˆvh_szolgˆltat„k Szakmai Sz_vets_ge (MATçSZSZ),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2016
EUclaim B.V. (EUclaim),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Aldersgate Group,III - Non-governmental organisations,399999,01/04/2016
Venturepreneurs' Organisation (Venturepreneurs),III - Non-governmental organisations,24999,01/12/2016
Union des Classes des Moyennes National (UCM National),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Bundesverband Gro_handel, Au_enhandel, Dienstleistungen e. V. (BGA)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Josep Salvat i Sangr_ (Josep Salvat),I - Professional consultancies/law firms/self-employed consultants,18000,01/12/2016
"Tyndall National Institute, University College Cork (Tyndall)","IV - Think tanks, research and academic institutions",99999,01/12/2016
EUROCHAMBRES _ Association of European Chambers of Commerce and Industry (eurochambres),II - In-house lobbyists and trade/business/professional associations,1550000,01/12/2016
Cornwall Council,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/03/2016
Orica USA Inc.,II - In-house lobbyists and trade/business/professional associations,9999,01/09/2016
Unify Communications sa (Nihil),II - In-house lobbyists and trade/business/professional associations, -   ,
Asociaci„n del Transporte Internacional por Carretera (ASTIC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Ymp_rist_teollisuus ja -palvelut YTP ry (Finnish Environmental Industries YTP) (YTP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
FuelsEurope (FuelsEurope),II - In-house lobbyists and trade/business/professional associations,2499999,01/12/2016
Tata Consultancy Services (TCS),II - In-house lobbyists and trade/business/professional associations,799999,01/03/2017
Asociaci„n Provincial de Armadores de Buques de Pesca del Litoral Espa_ol y Sur de Portugal de Pontevedra (Arposur),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
RAND Europe,"IV - Think tanks, research and academic institutions",99999,01/09/2016
The Brookings Institution,"IV - Think tanks, research and academic institutions",6499999,01/06/2016
Fitch Ratings Ltd (FRL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Xarxa FP (Xarxa FP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
XL Group Ltd,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
The Resource Center for Public Participation (CeRe),III - Non-governmental organisations,40000,01/12/2015
"Associaç†o Portuguesa de Fundos de Investimento, Pens_es e Patrim„nios (APFIPP)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Zdruzenje fonogramske industrije Slovenije (ZFIS),II - In-house lobbyists and trade/business/professional associations,1205,01/12/2015
Svenska Naturskyddsf_reningen,III - Non-governmental organisations,199999,01/12/2016
GAP CONSULTING APS,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Centrica plc,II - In-house lobbyists and trade/business/professional associations,399999,01/01/2017
EDHEC Business School (EDHEC),"IV - Think tanks, research and academic institutions",24999,01/07/2016
Stroke Alliance for Europe (SAFE),III - Non-governmental organisations,9999,01/12/2016
Grande Loge Ind_pendante et Souveraine des Rites Unis (GLISRU) (GLISRU),"IV - Think tanks, research and academic institutions",9999,01/06/2016
"ConsejerÍa de Salud, Junta de AndalucÍa (CSJA)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2017
FEDERACION DE CINES DE ESPA‹A (FECE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Roma Information Office (ERIO),III - Non-governmental organisations,239487,01/12/2016
Atlas Copco AB,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
AMBER Alert Europe (AMBER Alert EU),III - Non-governmental organisations,99999,01/12/2016
TEREOS,II - In-house lobbyists and trade/business/professional associations,99999,01/03/2016
European Federation of Parasitologists (EFP),III - Non-governmental organisations,9999,01/05/2016
International Federation of Organic Agriculture Movements EU Regional Group (IFOAM EU Group),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
HOGIAF,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
EASN Association (EASN),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Asociaci„n Provincial de Armadores de Buques de Cerco de Pontevedra (Cerco),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Association for Relationship Competences (I.A.R.C.),II - In-house lobbyists and trade/business/professional associations, -   ,
Hugo Grotius gGmbH - gemeinnôtzige Gesellschaft zur F_rderung der Rechtswissenschaften,"IV - Think tanks, research and academic institutions", -   ,
Initiative Wald mit Wild,III - Non-governmental organisations, -   ,
Narroway,I - Professional consultancies/law firms/self-employed consultants, -   ,
FEEM Servizi S.r.l. (FEEM),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
ƒvertorneë kommun,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
King Baudouin Foundation (KBF),III - Non-governmental organisations,1499999,01/12/2016
LEXMARK (LXK),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
F_d_ration G_n_rale du Travail de Belgique (FGTB),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Europlanet 2020 Research Infrstructre (EPN-2020-RI),III - Non-governmental organisations,3749000,01/02/2017
Law Square,I - Professional consultancies/law firms/self-employed consultants,99999,01/06/2016
Bôrgerinitiative gegen Flugl_rm Raunheim (BIFR),III - Non-governmental organisations, -   ,
European Federation of Funeral Services (EFFS),III - Non-governmental organisations,45000,01/12/2016
Natural Food Colours Association (NATCOL),II - In-house lobbyists and trade/business/professional associations,299999,01/06/2016
Sustainable Development Solutions Network Germany (SDSN Germany),"IV - Think tanks, research and academic institutions", -   ,
Liga para a Protecç†o da Natureza (LPN),III - Non-governmental organisations,1019080,01/12/2016
European Youth Forum,III - Non-governmental organisations,3749000,01/12/2015
Brandskyddsf_reningen Sverige (SBF),III - Non-governmental organisations,9999,01/12/2016
Federaç†o Nacional da Educaç†o (FNE),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2016
Magyar Tudomˆnyos Akad_mia (MTA),"IV - Think tanks, research and academic institutions",99999,01/12/2016
Intrum Justitia AB,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Ghent University (UGent),"IV - Think tanks, research and academic institutions",99999,01/12/2016
Pensions & Investment Research Consultants Limited (PIRC Limited),I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2016
S.C. SOCIETATEA DE TRANSPORT PUBLIC S.A. ALBA IULIA (STP ALBA IULIA),II - In-house lobbyists and trade/business/professional associations,9999,01/08/2017
ólykk__n liikenteen verkosto ITS Finland ry (ITS Finland),III - Non-governmental organisations,10000,01/12/2016
Linn_universitetet (LNU),"IV - Think tanks, research and academic institutions",9999,01/12/2016
International association for the study of insurance economics (Geneva Association),"IV - Think tanks, research and academic institutions",10000,01/12/2016
Viewpoint Group (VPG),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Liberation Route Europe Foundation (LREF),III - Non-governmental organisations,24999,01/12/2016
ANSI _ Associazione Nazionale Sanit_ Integrativa (ANSI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Dairy UK,II - In-house lobbyists and trade/business/professional associations,50000,01/12/2016
European Elevator Association (EEA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
The Digital Post (TDP),III - Non-governmental organisations,9999,01/01/2016
European Crowdfunding Network (ECN),III - Non-governmental organisations,9999,01/12/2015
Collaborating Centre on Sustainable Consumption and Production (CSCP),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Varna Economic Development Agency (VEDA),III - Non-governmental organisations,283256,01/12/2015
Stichting De Faunabescherming (De Faunabescherming),III - Non-governmental organisations,34000,01/12/2015
European Civic Forum (ECF),III - Non-governmental organisations,199999,01/12/2016
"Graphic Packaging International, Inc. (Graphic Packaging)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Digitale Gesellschaft e.V. (DigiGes),III - Non-governmental organisations,9999,01/12/2015
CONSEIL NATIONAL DES GREFFIERS DES TRIBUNAUX DE COMMERCE (CNGTC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
Confederaç†o do Com_rcio e Serviços de Portugal (CCP),II - In-house lobbyists and trade/business/professional associations,1030717,01/12/2016
BillerudKorsn_s AB,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
_________ ______ AEMBX,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
G€ANT Association (G€ANT),III - Non-governmental organisations,299999,01/12/2016
FEDERATION NATIONALE DES ASSOCIATIONS D'USAGERS DES TRANSPORTS (FNAUT),III - Non-governmental organisations,10000,01/12/2017
Vandoren Consulting,I - Professional consultancies/law firms/self-employed consultants,15000,01/12/2015
TÊV SÊD AG,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
GlassFibreEurope (APFE),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Wine and Spirit Trade Association (WSTA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Confederazione Europea Associazioni Professioni Olistiche (CONFASSOLISTICHE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Professional Beekeepers Association (EPBA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
F_d_ration Belge des Exportateurs de V_hicules neufs et d'occasion (FBEV),II - In-house lobbyists and trade/business/professional associations, -   ,
Centre Culturel Europ_en Jean Monnet (CCEJM),III - Non-governmental organisations,8152,01/12/2015
"InterDigital, Inc.",II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Faculdade de Ciências da Universidade de Lisboa (FCUL),"IV - Think tanks, research and academic institutions",105000,01/12/2015
Compassion in World Farming,III - Non-governmental organisations,99999,01/03/2016
Federation of Screenwriters in Europe (FSE),III - Non-governmental organisations,24999,01/12/2015
Organizaci„n de Productores de Pesca Fresca del Puerto de Vigo (OPP-04),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
ƒkologischer Jagdverein Bayern e.V. (ƒJV),III - Non-governmental organisations,30000,01/12/2016
Nederlandse Belangenvereniging Draadloze A/V verbindingen PMSE (PMSE NL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Les Dossiers Europ_ens,I - Professional consultancies/law firms/self-employed consultants,10000,01/12/2016
Flanders' Maritime Cluster (FMC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Association Europ_enne pour lêInformation sur le D_veloppement Local (AEIDL),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
European Network of National Human Rights Institutions (ENNHRI),III - Non-governmental organisations,199999,01/12/2016
PEFC International (PEFC),III - Non-governmental organisations,154230,01/12/2015
Nesta,III - Non-governmental organisations,199999,01/03/2016
Bulgarian Society for the Protection of Birds (BSPB),III - Non-governmental organisations,28000,01/12/2015
Piattaforma tecnologica nazionale per l'aviazione - ACARE Italia (ACARE Italia),III - Non-governmental organisations, -   ,
European Initiative for Sustainable Development in Agriculture e.V. (EISA),III - Non-governmental organisations,31000,01/12/2016
ACADEMY OF ENTREPRENEURSHIP (AKEP),III - Non-governmental organisations,99999,01/12/2016
Boerse Stuttgart GmbH (Boerse Stuttgart),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Workday,II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
Cobalt Light Systems Ltd (CLS),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2016
Nordwestdeutscher Forstverein,III - Non-governmental organisations, -   ,01/12/2016
FromOverHere Ltd,I - Professional consultancies/law firms/self-employed consultants, -   ,01/03/2017
MacBrien Cuper Isnard,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
Przedsi_biorczo__ dla Ekologii,III - Non-governmental organisations, -   ,
UKRAINIAN LEAGUE OF INDUSTRIALISTS AND ENTREPRENEURS (ULIE),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
Institut de Recherche pour le D_veloppement (IRD),"IV - Think tanks, research and academic institutions",1000000,01/12/2015
"Organizaci„n de Productores de Buques Congeladores de Merlìcidos, Cefal„podos y Especies Varias (OPP-03)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
______ _____,III - Non-governmental organisations,24999,01/12/2016
Project 668,III - Non-governmental organisations,9999,01/12/2016
Bundesverband des Deutschen Lebensmittelhandels e.V. (BVLH),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
netzwelt GmbH (netzwelt),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
GAFM Global Academy of Finance and Management Standards Council (GAFM & IBS & AAPM),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Associaç†o Portuguesa de Imprensa (API),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Circular Economy Coalition for Europe (CEC4E or CEC4Europe),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
HORT DEL MANYANO COOP.V,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Psychiatric Association (EPA),III - Non-governmental organisations,199999,01/01/2017
Stowarzyszenie Autor„w i Wydawc„w Copyright Polska (Copyright Polska),III - Non-governmental organisations,9999,01/12/2015
Irish Bioenergy Association (IrBEA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Viacom,II - In-house lobbyists and trade/business/professional associations,199999,01/09/2016
Global Sustain A______ _______ _______ _________ (Global Sustain A.E.),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
Hellenic Telecommunications Organization S.A. (OTE S.A.),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Hilton,II - In-house lobbyists and trade/business/professional associations,100000,01/12/2015
ASOCIACIÓN DE ARMADORES DE CERCO DE GALICIA (ACERGA),III - Non-governmental organisations,50062,01/12/2016
Portal Audiovisuele Makers (PAM),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
Daikin Hungary Kft. (Daikin HU),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
SCHUFA Holding AG,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Fondbolagens f_rening (FBF),II - In-house lobbyists and trade/business/professional associations,282000,01/12/2016
Independent Regulators' Group - Rail (IRG-Rail),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
Wirtschaftsbeirat der Union,III - Non-governmental organisations,24999,01/12/2016
Technische Universit_t Dresden (TUD),"IV - Think tanks, research and academic institutions",999999,01/12/2015
Quintessa Limited,I - Professional consultancies/law firms/self-employed consultants,199999,01/04/2016
Linda van Goor Regulatory Communication,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Sustainable Aviation (SA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Coalition to End Animal Experiments (ECEAE),III - Non-governmental organisations,49999,01/03/2017
B_rsenverein des Deutschen Buchhandels e.V.,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Modern Times Group MTG AB (MTG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
CITTADINI PER L'ARIA,III - Non-governmental organisations,21558,01/12/2016
Dexia (Dexia),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
aktion ./. arbeitsunrecht Initiative fôr Demokratie in Wirtschaft und Betrieb e.V.,III - Non-governmental organisations,20000,01/12/2015
MTV Oy,II - In-house lobbyists and trade/business/professional associations,100000,01/12/2016
Peterson Institute for International Economics (PIIE),"IV - Think tanks, research and academic institutions",9999,01/06/2016
Wind Tre S.p.A. (Wind Tre),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Mildenberger Verlag,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Foreningen for Dansk Internet Handel (FDIH),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Quimidroga S.A. (Qd),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
The Options Clearing Corporation (OCC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Studio Associato Angioy Pirastru (SAAP),I - Professional consultancies/law firms/self-employed consultants, -   ,
WeForest (asbl) (WF),III - Non-governmental organisations,402818,01/12/2015
"PORTOS DOS A‰ORES, S.A. (PA, S.A)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
Practising Law Institute (PLI),"IV - Think tanks, research and academic institutions",99999,01/12/2016
European Film Academy e.V. (EFA),III - Non-governmental organisations,199999,01/12/2016
Financial Markets Law Committee (FMLC),"IV - Think tanks, research and academic institutions",299999,01/10/2016
SAMARITAN INTERNATIONAL (SAM.I.),III - Non-governmental organisations,49999,01/12/2015
Consorzio Remedia,III - Non-governmental organisations,200000,01/12/2016
Christopher Irwin,I - Professional consultancies/law firms/self-employed consultants,49999,01/03/2017
European Animal Protein Association (EAPA),II - In-house lobbyists and trade/business/professional associations,50395,01/12/2016
European School of Governance (eusg) GmbH (eusg),I - Professional consultancies/law firms/self-employed consultants,399999,01/12/2015
Chiesi Farmaceutici SpA (Chiesi),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Arbeitsgemeinschaft Rohholzverbraucher (AGR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
INOVYN ChlorVinyls,II - In-house lobbyists and trade/business/professional associations,1249999,01/04/2017
CC-Portugal - C_mara de Com_rcio e Industria Portuguesa (C_mara de Com_rcio),II - In-house lobbyists and trade/business/professional associations,25000,01/12/2015
OCTA INNOVATION,II - In-house lobbyists and trade/business/professional associations, -   ,
radiotaxi veneto societa cooperativa (Taxiveneto),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",70000,01/12/2015
Associazione Nazionale Italiana Spettacoli Pirotecnici (ANISP),II - In-house lobbyists and trade/business/professional associations,24999,01/01/2017
FEDERACION PARA LA PROTECCION DE LA PROPIEDAD INTELECTUAL (FAP),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2016
Salviamo l'Orso Associazione per la conservazione dell'orso bruno marsicano (SLO),III - Non-governmental organisations,25000,01/12/2016
The European network for community-led initiatives on climate change and sustainability (ECOLISE),III - Non-governmental organisations,5000,01/12/2016
Centre National de la Recherche Scientifique (CNRS),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Insight Consulting,I - Professional consultancies/law firms/self-employed consultants,199999,01/07/2016
ASOCIACIÓN DE EMPRESAS FORESTALES Y PAISAJêSTICAS DE ANDALUCIA (AAEF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Academia Europaea [The Academy of Europe] (AE),III - Non-governmental organisations,599999,01/12/2015
DBRS,II - In-house lobbyists and trade/business/professional associations, -   ,
ANILKUMAR DAVE,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
European Society for Paediatric Gastroenterology Hepatology and Nutrtition (ESPGHAN),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2016
AIG Europe Ltd (AIG),II - In-house lobbyists and trade/business/professional associations,99999,01/04/2017
Quintiles Benefit France,II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
International Food Waste Coalition (IFWC),III - Non-governmental organisations, -   ,
European Alliance For Vision Research and Ophthalmology (EU-EYE),III - Non-governmental organisations,49999,01/12/2016
Bundesverband der Arzneimittel-Hersteller e.V. (BAH),II - In-house lobbyists and trade/business/professional associations,99999,01/05/2017
Deutscher Verband fôr Telekommunikation und Medien (DVTM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Association Sociale Nationale Internationale Tzigane (A.S.N.I.T.),III - Non-governmental organisations,9999,01/12/2016
Sustainable Use of Forest Resources - National Advocay Platform (SusFor),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Fibercore Limited,II - In-house lobbyists and trade/business/professional associations,24999,01/07/2016
"Wilh. Schr_der GmbH & Co. KG, Metallwarenfabrik",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Ensemble contre la peine de mort (ECPM),III - Non-governmental organisations,380000,01/12/2016
Marine South East Ltd (MSE),III - Non-governmental organisations,18114,01/04/2017
"""Vigilare"", udruga za promicanje sudjelovanja gra_ana u civilnim i politi_kim sektorima dru_tva i o_uvanje dostojanstva i prava pojedinca, obitelji i vrijednosti _ivota (Vigilare)",III - Non-governmental organisations,40000,01/12/2015
ASOCIACION NACIONAL DE PRODUCTORES DE GANADO PORCINO (ANPROGAPOR),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
________ _________________ __________,II - In-house lobbyists and trade/business/professional associations,8000,01/12/2015
SIX GROUP LTD (SIX),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Bacardi-Martini BV (BMBV),II - In-house lobbyists and trade/business/professional associations,399999,01/03/2017
Raisin (RA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Alliance VITA,III - Non-governmental organisations,49999,01/12/2015
Educore (Educore),I - Professional consultancies/law firms/self-employed consultants,1000,01/12/2015
"F_d_ration Nationale des Agriculteurs Multiplicateurs de Semences, Graines et Plants (FNAMS)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Economic and Public Policy Consultancy (EPPC),I - Professional consultancies/law firms/self-employed consultants,40000,01/12/2016
Stichting CINOP (CINOP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/12/2015
FEDERA_IA NA_IONAL_ PENTRU ÔNV___MÎNT _I FORMARE PROFESIONAL_ (FNIFP),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
EuropeActive,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Latvijas Darba dev_ju konfeder_cija (LDDK),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2015
Marine Cluster Bulgaria (MCB),III - Non-governmental organisations,9999,01/12/2015
SFEPA (SFEPA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Hazardous Waste Europe (HWE),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2015
"Illumina, Inc.",II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Studio di Ingegneria Giuridica,I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2017
ETA-Florence Renewable Energies (ETA-Florence),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
IDAY International (IDAY),III - Non-governmental organisations,445338,01/12/2015
German Development Institute / Deutsches Institut fôr Entwicklungspolitik (DIE) (DIE),"IV - Think tanks, research and academic institutions",24999,01/12/2016
Dwelling Places (DP),III - Non-governmental organisations,278172,01/06/2017
Poste Italiane S.p.A.,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Stenstr_m Consulting,I - Professional consultancies/law firms/self-employed consultants,99999,01/09/2016
De Matteis Law,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Albert Schweitzer Stiftung fôr unsere Mitwelt (ASSfUM),III - Non-governmental organisations,9999,01/12/2015
The European Association for the Promotion of Cogeneration (COGEN Europe),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
Europ_isches Verbraucherzentrum ƒsterreich (EVZ),III - Non-governmental organisations,90000,01/12/2016
Academic Cooperation Association (ACA),III - Non-governmental organisations,825964,01/12/2016
Faculdade de Engenharia da Universidade do Porto (FEUP),"IV - Think tanks, research and academic institutions",199999,01/12/2015
VINCI Concessions,II - In-house lobbyists and trade/business/professional associations,120000,01/12/2016
ASDM Consulting (ASDM Consulting),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Radiocentre,II - In-house lobbyists and trade/business/professional associations,15000,01/09/2016
Association of European Cartonboard and Carton Manufacturers (Pro Carton),II - In-house lobbyists and trade/business/professional associations,150000,01/01/2017
Slovenian Business and Research Association (SBRA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Beheersmaatschappij Antwerpen Mobiel (BAM),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
European Quality Association for Recycling e.V. (EQAR),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2016
International Federation of Anthroposophic Medical Associations (IVAA),III - Non-governmental organisations,199999,01/12/2016
SRA Consulting,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Conf_d_ration Europ_enne des Associations de Petites et Moyennes Entreprises (CEA-PME),II - In-house lobbyists and trade/business/professional associations,33500,01/12/2015
Groupe de Recherche et d'Information sur la Paix et la s_curit_ (GRIP),"IV - Think tanks, research and academic institutions",24999,01/12/2015
MoneySavingExpert.com Limited,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
North West Food SL (NWF),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2016
"ICL IBERIA LIMITED, S.C.A. (ICL IBERIA)",II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
_____ __ _______ __ ______,III - Non-governmental organisations, -   ,
COLEGAS - Confederaci„n LGBT Espa_ola (Spanish LGBT Confederation) (COLEGAS),III - Non-governmental organisations,14000,01/12/2015
Software & Information Industry Association (SIIA),II - In-house lobbyists and trade/business/professional associations,200000,01/12/2016
Europe Israel Public Affairs (EIPA),III - Non-governmental organisations,399999,01/02/2018
Electric Underfloor Heating Alliance (EUHA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
ASOCIACIÓN NACIONAL EMPRESARIAL DE LA INDUSTRIA FARMAC€UTICA (FARMAINDUSTRIA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Nielsen Holdings (Nielsen),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Natuur- en Recreatiewerkgroep Grote Heide,III - Non-governmental organisations,9999,01/01/2017
Politecnico di Torino (POLITO),"IV - Think tanks, research and academic institutions",199999,01/12/2015
"European Construction, built environment and energy-efficient buildings Technology Platform (ECTP)",II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
British Association of Screen Entertainment (BASE),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Alliance Maçonnique Europ_enne (A.M.E.),III - Non-governmental organisations, -   ,
Asociatia Romana pentru Inovatie in Acvacultura si Pescuit (ARIAP),III - Non-governmental organisations,17000,01/03/2017
Keep Britain Tidy,III - Non-governmental organisations,9999,01/03/2016
CONFEDERACIÓN ESPA‹OLA DE ASOCIACIONES DE PROPIETARIOS DE FINCAS EN ESPACIOS NATURALES PROTEGIDOS (CEAPEN),II - In-house lobbyists and trade/business/professional associations, -   ,
